ensemble,obsnum,name,sind,pind,n_earth,n_success,is_success,is_deep,is_promo,WA,dMag,phi,char_SNR,MV
561063507,277,HIP 64924,474,1,2,2,1,0,1,159.73948368089637,25.388872395287486,0.5038544341590792,7.803072815339941,4.64357069183922
561063507,289,HIP 78072,567,0,2,2,1,0,1,196.15972837967294,26.479017867628983,0.22494786561921656,5.91006128621598,3.8469017683707856
561063507,289,HIP 78072,567,1,2,2,1,0,1,68.87188065722114,24.891909448021106,0.9336144393246566,5.356670153468072,3.8469017683707856
572990417,71,HIP 104217,772,0,1,1,1,0,1,96.41024212030406,22.16332905748635,0.6105683496292155,5.361380198341148,5.050340221751378
572990417,99,HIP 104214,771,0,1,1,1,0,1,114.30036102777902,22.71462067696721,0.7331326866089122,5.361714618754136,4.765481840984286
572990417,108,HIP 15510,125,0,3,3,1,0,1,164.7688769234212,24.951324658657597,0.6460567710535361,5.360652796222255,4.138061966262521
572990417,108,HIP 15510,125,1,3,3,1,0,1,191.09155301178043,25.668855615629433,0.21976855741063137,7.082963083445612,4.138061966262521
572990417,108,HIP 15510,125,2,3,3,1,0,1,185.29910541366584,24.401196119276094,0.3209479910117276,14.004828418537501,4.138061966262521
572990417,139,HIP 19849,156,0,1,1,1,0,1,42.53146487889366,23.014683077586234,0.9636398211401068,5.361728312247884,4.258023487803837
572990417,160,HIP 72659 A,532,0,1,1,1,0,1,108.83315078961556,23.33870559980837,0.6723187619526936,5.360391075091398,4.453865077728178
572990417,207,HIP 3821 A,33,0,1,1,1,0,1,237.94286613815638,25.17286879409341,0.5173680863108661,5.3609083098045165,3.405753985766557
572990417,212,HIP 8102,66,0,1,1,1,0,1,181.2837531428712,24.277777738218408,0.6932700941584282,5.361694773632207,3.351455963195376
572990417,215,HIP 108870,803,0,1,1,1,0,1,147.0303677687331,23.880225664994082,0.6896882287432784,5.361324602500257,4.2192232626218455
572990417,217,HIP 42808,332,0,1,1,1,0,1,67.60128493711142,24.78859563855554,0.14529446399641993,5.36069892854388,6.3015510083887865
572990417,223,HIP 10138,82,0,1,1,1,0,1,60.5987654155622,23.413113550525487,0.6973787020809276,5.361719617114332,5.934970578258848
572990417,236,HIP 91768,672,0,1,1,1,0,1,36.49628618746393,22.024364946351533,0.1362908039317378,5.361684834341119,7.5627133173906556
572990417,252,HIP 80686,593,0,1,1,1,0,1,105.95122151489906,25.083738572524886,0.2601129756762222,5.363299060953686,4.874465317512887
572990417,254,HIP 77257,561,0,1,1,1,0,1,119.05882901425431,25.612767326922373,0.262653289439913,5.357706584230472,4.38163066302474
572990417,259,HIP 32984,258,0,3,1,1,0,1,31.645405084245443,27.135899853686208,0.01115591555790557,5.363185413875558,6.079562670759302
572990417,259,HIP 32984,258,1,3,1,0,0,1,87.6274725870406,23.903378429528125,0.4065791013091886,0.0,6.079562670759302
572990417,259,HIP 32984,258,2,3,1,0,0,1,82.31058869076968,24.50533028854188,0.26399951220599416,0.0,6.079562670759302
572990417,285,HIP 86400,643,0,1,1,1,0,1,53.259568221232115,25.34024552443006,0.09300984768039103,5.359717805119072,6.2082661331854885
589746689,72,HIP 114046,846,0,1,1,1,0,1,68.81204690543844,21.936330038739378,0.23765166954100223,5.358835924048673,5.90421924023849
589746689,119,HIP 88601 A,654,0,1,1,1,0,1,202.1697789970053,24.54984362845107,0.3565965886121286,5.361861091506597,3.786578598724091
589746689,131,HIP 7751 B,61,0,1,1,1,0,1,97.66782229833994,23.90207878747027,0.4595463873541375,5.361806666482157,5.467336472693603
589746689,175,HIP 99240,740,0,1,1,1,0,1,271.7231051319145,25.013040824336596,0.47619045149751443,5.3608761631460915,3.4505769487950566
589746689,193,HIP 7981,64,0,1,1,1,0,1,83.21423062878232,23.664693220695902,0.7921521184646432,5.355688839247533,5.03373023616421
589746689,194,HIP 84720 A,625,0,1,1,1,0,1,76.74588772413426,25.95087817942762,0.10015684549871562,5.3613296824245245,5.262405001663845
589746689,213,HIP 84405 B,620,0,1,1,1,0,1,139.7614470936072,24.47650895418159,0.4974809694884987,5.360847653455034,4.10546210179961
589746689,226,HIP 32984,258,0,2,1,1,0,1,70.77042843234628,23.581802728535664,0.21507503008253995,5.357772103890711,6.079562670759302
589746689,226,HIP 32984,258,1,2,1,0,0,1,52.26390428386787,23.382418623157363,0.8274742421803069,0.0,6.079562670759302
589746689,233,HIP 1599,16,0,1,1,1,0,1,170.7384615517033,24.59207959517132,0.636686816472847,5.361898999104998,4.190336716738497
589746689,235,HIP 64394,464,0,1,1,1,0,1,143.24505394165521,25.69295272196579,0.34648897179362137,5.358551753358176,4.206699599184101
589746689,303,HIP 78072,567,0,1,1,1,0,1,91.43767224453943,24.841384445300857,0.8501672798842683,5.359417579557491,3.8469017683707856
589746689,308,HIP 99701,745,0,1,1,1,0,1,55.15202650057519,23.350848184131326,0.1902321255583745,5.362059005246986,6.679213347455628
602765987,60,HIP 104217,772,0,1,1,1,0,1,40.22835584696314,21.15094123068987,0.9452899956502339,5.3614813217663535,5.050340221751378
602765987,146,HIP 49908,369,0,1,1,1,0,1,55.0167189936705,22.130619552847076,0.8656154698384857,5.360345337978419,5.66416309317761
602765987,163,HIP 7981,64,0,2,2,1,0,1,56.86343065432805,23.21828398546838,0.7958926680001798,5.361942388419236,5.03373023616421
602765987,163,HIP 7981,64,1,2,2,1,0,1,121.74685738756101,24.267024596336505,0.25038659965654025,11.268592405320558,5.03373023616421
602765987,212,HIP 45343,344,0,1,1,1,0,1,29.629354022794764,23.679991236996884,0.03770781479274258,5.360570756000146,6.502481083732912
602765987,224,HIP 56452,413,0,1,1,1,0,1,113.90828731922115,25.320370315635618,0.17618118896269097,5.35869570914551,5.251310237634866
602765987,228,HIP 32984,258,0,1,1,1,0,1,89.97991160938784,23.96776630547331,0.4101500220822415,5.362652688522541,6.079562670759302
602765987,254,HIP 19849,156,0,1,1,1,0,1,69.33100058320932,23.944044587566175,0.9389674459220341,5.361381781783809,4.258023487803837
602765987,267,HIP 99701,745,0,1,1,1,0,1,58.33445775208224,22.239834836729692,0.5507652402579161,5.360665812746743,6.679213347455628
611229025,63,HIP 54035,394,0,2,2,1,0,1,17.68596845219196,20.530405069596807,0.9719003925630003,5.361622127974017,6.101593593939738
611229025,63,HIP 54035,394,1,2,2,1,0,1,59.08766356289158,21.632948324535903,0.16457150301178472,7.851600675101863,6.101593593939738
611229025,105,HIP 15510,125,0,1,1,1,0,1,164.29446359750642,23.792003267667422,0.6941936214642597,5.361224753011222,4.138061966262521
611229025,113,HIP 7751 B,61,0,1,1,1,0,1,111.88564931019539,23.856493915815715,0.40728971386880786,5.361757701510598,5.467336472693603
